,Year,Flights Flown,Month,Price,KM
692,2012,657,5,178.3585657,643
693,2013,707,5,135.9534047,643
694,2014,751,5,116.1209632,643
695,2015,746,5,117.1255814,643
696,2016,724,5,133.9742173,643
697,2017,709,5,164.2908762,643
698,2018,706,5,146.0902655,643
699,2019,720,5,129.0540941,643
700,2020,44,5,158.9772727,643
701,2021,538,5,138.9579125,643
702,2022,655,5,137.5701824,643
703,2023,714,5,149.631264,643
704,2010,699,11,83.59349845,643
705,2011,632,11,319.6112224,643
706,2012,705,11,216.7078431,643
707,2013,712,11,160.0573473,643
708,2014,703,11,128.6135084,643
709,2015,735,11,134.2214022,643
710,2016,730,11,124.6381818,643
711,2017,725,11,154.7511151,643
712,2018,721,11,181.3427695,643
713,2019,719,11,206.9604991,643
714,2020,36,11,196.9581911,643
715,2021,109,11,119.9472383,643
716,2022,630,11,318.7431116,643
717,2023,667,11,326.8787656,643
718,2010,734,10,112.4686275,643
719,2011,654,10,333.6292585,643
720,2012,695,10,230.4235294,643
721,2013,748,10,120.0096374,643
722,2014,766,10,123.3639775,643
723,2015,776,10,147.1273063,643
724,2016,750,10,132.2690909,643
725,2017,737,10,162.2390723,643
726,2018,736,10,226.7091148,643
727,2019,754,10,132.3150602,643
728,2020,34,10,180.246587,643
729,2021,41,10,113.0272053,643
730,2022,640,10,265.2538226,643
731,2023,687,10,205.5841293,643
732,2010,716,9,156.4270466,643
733,2011,630,9,375.6833667,643
734,2012,666,9,354.5599214,643
735,2013,721,9,221.8222115,643
736,2014,738,9,207.7462406,643
737,2015,750,9,181.3518519,643
738,2016,740,9,209.7221207,643
739,2017,727,9,331.540395,643
740,2018,701,9,178.7268722,643
741,2019,722,9,216.8813692,643
742,2020,34,9,158.9225473,643
743,2021,38,9,114.5380117,643
744,2022,621,9,329.0482866,643
745,2023,677,9,168.5417591,643
746,2010,200,4,435.1795407,2120
747,2011,196,4,561.2923387,2120
748,2012,209,4,373.438247,2120
749,2013,211,4,405.5466926,2120
750,2014,211,4,462.3701605,2120
751,2015,221,4,516.6539535,2120
752,2016,220,4,448.2983425,2120
753,2017,208,4,401.8807588,2120
754,2018,212,4,455.6035398,2120
755,2019,227,4,474.0513937,2120
756,2021,154,4,341.506734,2120
757,2022,158,4,340.5971451,2120
758,2023,186,4,504.3515333,2120
759,2010,208,8,417.5253886,2120
760,2011,209,8,518.6673347,2120
761,2012,207,8,464.5009823,2120
762,2013,206,8,414.3192308,2120
763,2014,210,8,447.0488722,2120
764,2015,221,8,411.9277778,2120
765,2016,224,8,381.0804388,2120
766,2017,204,8,386.7971275,2120
767,2018,209,8,428.9444934,2120
768,2019,222,8,469.1620451,2120
769,2020,30,8,695.8881239,2120
770,2021,49,8,338.9390142,2120
771,2022,169,8,578.5584112,2120
772,2023,179,8,421.8713969,2120
773,2010,210,12,704.5531476,2120
774,2011,202,12,838.2785571,2120
775,2012,210,12,751.6196078,2120
776,2013,217,12,571.3473282,2120
777,2014,218,12,561.6998124,2120
778,2015,224,12,526.5608856,2120
779,2016,214,12,513.8145455,2120
780,2017,220,12,658.9402319,2120
781,2018,216,12,768.7756354,2120
782,2019,209,12,756.0860585,2120
783,2020,53,12,550.2892491,2120
784,2021,40,12,500.5605853,2120
785,2022,187,12,1066.36315,2120
786,2023,200,12,666.092579,2120
787,2010,193,2,540.789916,2120
788,2011,189,2,502.387589,2120
789,2012,193,2,515.3473473,2120
790,2013,185,2,448.1171875,2120
791,2014,189,2,501.7286528,2120
